section,agent,opponent,game_number,role,num_moves,my_num_moves,opp_num_moves,my_total_time,opp_total_time,game_total_time,my_avg_turn,opp_avg_turn,my_max_turn,opp_max_turn,my_last_remaining,opp_last_remaining,result,timeout,num_games,win_rate_total,win_rate_as_pink,win_rate_as_black,avg_game_time,avg_my_time,avg_opp_time,avg_my_turn_summary,avg_opp_turn_summary,avg_my_moves,avg_opp_moves,my_timeouts,opp_timeouts,best_win_streak
per_game,Agent 6,Inginious,0,pink,9,5,4,51.2984,20.8016,72.1,10.2597,5.2004,23.7811,5.4805,248.7016,279.1984,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,0,pink,13,7,6,74.789,32.7015,107.4906,10.6841,5.4503,23.7701,5.7941,225.211,267.2985,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,1,pink,20,10,10,58.4358,51.4573,109.8931,5.8436,5.1457,23.8173,5.5752,241.5642,248.5427,loss,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,1,pink,17,9,8,86.3194,40.7908,127.1102,9.591,5.0988,24.4049,5.3792,213.6806,259.2092,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,2,pink,18,9,9,48.2284,46.7033,94.9317,5.3587,5.1893,23.845,5.6501,251.7716,253.2967,loss,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,2,pink,17,9,8,55.8153,41.0742,96.8895,6.2017,5.1343,23.8855,5.3884,244.1847,258.9258,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,3,pink,19,10,9,58.1166,46.2407,104.3573,5.8117,5.1379,23.7834,5.654,241.8834,253.7593,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,3,pink,19,10,9,67.5783,46.8435,114.4218,6.7578,5.2048,26.5433,5.6106,232.4217,253.1565,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,4,pink,19,10,9,69.333,46.807,116.14,6.9333,5.2008,26.5517,5.4536,230.667,253.193,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,4,pink,17,9,8,61.831,40.9036,102.7346,6.8701,5.113,27.5685,5.4043,238.169,259.0964,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,5,black,21,10,11,108.5883,56.0253,164.6136,10.8588,5.0932,43.3187,5.4331,191.4117,243.9747,loss,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,5,black,14,7,7,40.3305,35.6069,75.9374,5.7615,5.0867,22.5716,5.3062,259.6695,264.3931,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,6,black,22,11,11,44.5313,58.6315,103.1628,4.0483,5.3301,13.8351,5.7558,255.4687,241.3685,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,6,black,22,11,11,46.3726,56.771,103.1437,4.2157,5.161,12.955,5.4766,253.6274,243.229,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,7,black,18,9,9,37.5043,46.8704,84.3747,4.1671,5.2078,13.1101,5.7755,262.4957,253.1296,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,7,black,19,9,10,35.374,51.0389,86.4128,3.9304,5.1039,26.1622,5.4506,264.626,248.9611,loss,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,8,black,17,8,9,67.5787,47.1918,114.7705,8.4473,5.2435,23.5332,5.612,232.4213,252.8082,loss,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,8,black,18,9,9,45.2483,46.6523,91.9005,5.0276,5.1836,25.4995,5.5723,254.7517,253.3477,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,9,black,16,8,8,40.5084,41.1399,81.6483,5.0635,5.1425,11.6038,5.4628,259.4916,258.8601,win,False,,,,,,,,,,,,,,
per_game,Agent 6,Inginious,9,black,16,8,8,48.3341,40.9808,89.3149,6.0418,5.1226,18.1897,5.526,251.6659,259.0192,win,False,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,Agent 6,Inginious,,,,,,,,,,,,,,,,,20,0.75,0.8,0.7,102.0674,57.3058,44.7616,6.4389,5.1748,8.9,8.65,0,0,8
